date,w_long,w_short,ew_long,ew_short,ew_mkt_neutral,vw_long,vw_short,vw_mkt_neutral,sp500
1990-02-01,3.0,2.8770350953533104,0.024680532079655676,-0.01057800129550742,0.0436083152730994,2.4444667810618143e-05,-0.005302513276307308,-0.015182182786081135,0.0168
1990-03-01,3.0,2.9980764047427804,0.0453326352708973,-0.012212952305562795,0.09938254167313514,0.030503231374412708,-0.013806193350268996,0.05011767160047997,0.0247
1990-04-01,3.0,2.7869187520074052,-0.01743609587836545,0.03946099758148194,0.05766630649765453,-0.00033244375707874895,0.03067653966014731,0.08449569235432718,-0.026699999999999998
1990-05-01,3.0,2.8037186683637993,0.09534112494206055,-0.08939927680650726,0.035372953505554416,0.09956180238074168,-0.09286390799427575,0.038321134681455815,0.09119999999999999
1990-06-01,3.0,2.6564096718235244,0.008532350044697523,0.008568558432161808,0.04835865162687221,0.01893737726481861,0.010777972623351121,0.0854428425137749,-0.0046
1990-07-01,3.0,2.414009793554748,-0.01074182769516483,0.055983757937792686,0.10291985685633544,0.00036348713114059,0.04271625870740142,0.10420792825710709,-0.012199999999999999
1990-08-01,3.0,2.8212940175392003,-0.12089243914466351,0.1252394601481501,-0.009339977758175522,-0.09520162261028917,0.1288371474382495,0.07788260547348175,-0.0947
1990-09-01,3.0,2.899473201371461,-0.07844476743484848,0.09270387192256749,0.03345808999831118,-0.056408689010157345,0.08660500237605398,0.08188281646360818,-0.0551
1990-10-01,3.0,2.953424134004701,-0.024756782680051402,0.0430706452135928,0.052935535000824846,-0.004639261033362863,0.03614551203899584,0.09283524449183919,-0.012299999999999998
1990-11-01,3.0,2.8376743966530396,0.09077777759492164,-0.09978380722925068,-0.010820622190242213,0.10062038429950407,-0.07319585952253414,0.09415513639040451,0.0692
1990-12-01,3.0,2.794352995030915,0.07551759710651823,-0.03597667250549421,0.12602126875258057,0.05310162723460696,-0.02962333978839746,0.07652681344329396,0.0308
1991-01-01,3.0,2.9852166853664825,0.07355071821948514,-0.06341345984721557,0.03134923624573002,0.06227240600202145,-0.051640767591003736,0.03265833694826731,0.05210000000000001
1991-02-01,3.0,2.8315013926715276,0.09555738126859069,-0.09610352510353551,0.014554878634468138,0.09069543424045198,-0.08097316184590239,0.042810682185666304,0.0769
1991-03-01,3.0,2.697873806092436,0.0430253897793591,-0.051031517502851786,-0.008600425018014196,0.04142062766506088,-0.02816202928353798,0.04828428186471741,0.0311
1991-04-01,3.0,2.808171917472463,-0.012902658089296892,-0.021962875090539454,-0.10038350332409905,-0.017120932645661346,-0.010833548442214787,-0.08178526443898915,0.0024000000000000002
1991-05-01,3.0,2.820583626160771,0.04543977561639622,-0.053441743226721884,-0.014417579049591372,0.058654495860505335,-0.05645355103557195,0.016731525891950316,0.0413
1991-06-01,3.0,2.958987651374412,-0.046464960603043434,0.04836700654355809,0.0037224932872035044,-0.03774068342736151,0.052061542856613234,0.04082741214213376,-0.045200000000000004
1991-07-01,3.0,2.941326386176399,0.05067993234610185,-0.04730634937994182,0.012896383373403153,0.061407740263418935,-0.031730494123425775,0.0908934811786094,0.0473
1991-08-01,3.0,2.9708804260061,0.03476880777918268,-0.028176738361362367,0.02059670287108141,0.027066704592852556,-0.01662156824773374,0.031819422021840994,0.0278
1991-09-01,3.0,3.185439812410458,0.0010184054102137451,-0.00452546888962388,-0.011360392540191621,-0.008007048912716723,0.01067440885807847,0.009981540212319846,-0.011300000000000001
1991-10-01,3.0,3.1675098419978407,0.011226669072639197,-0.023966015472542495,-0.0422325826648333,0.027628576284470657,0.008772873873327706,0.1106738931897832,0.0171
1991-11-01,3.0,2.8362479984709776,-0.03406618237029761,0.06117300610523671,0.07130326901553767,-0.01226325417924205,0.05828876433110973,0.12853162862973033,-0.0381
1991-12-01,3.0,2.9966536836355844,0.14201873957645147,-0.11526373975677416,0.08065070839760374,0.15679367580065748,-0.1185767356446266,0.11504761573901917,0.11239999999999999
1992-01-01,3.0,2.9657050169467465,0.002308786667417735,-0.011505306423641741,-0.02719498497985074,-0.03795884847980885,0.014023858776559827,-0.07228591710883041,-0.0024999999999999996
1992-02-01,3.0,3.0387844043912007,0.0008826657076133415,-0.0026855864259414373,-0.00551292102495552,-0.003331212596247195,-0.025386046695646147,-0.08713636057661787,0.0137
1992-03-01,3.0,2.950538891896762,-0.03078970101894811,0.031719633608590814,0.0012209095420185057,-0.0418606432352883,0.02191518051882096,-0.060920337262145394,-0.023200000000000002
